id,supplier_id,location_type,name,address_line1,address_line2,city,state_province,postal_code,country,latitude,longitude,capacity_mt,operational_since,phone,email,created_at
862b2d70-f4c3-45fd-a915-a84fa572b2ff,3926362c-b964-4f16-bb68-8c63ae3ee25f,processing_plant,Gauteng Processing Plant,315 Industrial Way,,Gauteng,Gauteng,,South Africa,-1.10522,-6.56201,35837,2009,,,2017-01-29T05:38:30.449Z
440cc652-1d6d-4e3d-abd6-ded94c8156c8,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,headquarters,Apex Energy Headquarters,8329 Central Boulevard,Floor 5,Sikasso,Sikasso,58475,Mali,25.78215,-102.36533,,1989,+127-905-8686,sales@apexenergy.com,2021-06-09T05:38:30.408Z
fb268b64-459a-4e9f-814b-8f6465bd3052,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,r_and_d_center,Kayes R And D Center,744 Mining Way,,Kayes,Kayes,,Mali,-21.63081,98.0197,,2016,,,2022-09-23T05:38:30.449Z
bc124b55-fefd-4d53-b6a8-20565954dc2b,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,mining_operation,Limpopo Mining Operation,Mine Site Processing Way,,Limpopo,Limpopo,,South Africa,1.09969,-24.28476,46416,2016,,,2022-11-23T05:38:30.449Z
77be5e3f-1cc9-4f38-b373-9558799c9afc,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,office,Bamako Office,74 Processing Zone,,Bamako,Bamako,,Mali,4.21458,110.3767,,2012,,,2016-12-16T05:38:30.449Z
bb91f471-481e-4c4c-be6e-3190387e71f2,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,r_and_d_center,Bamako R And D Center,890 Mining Zone,,Bamako,Bamako,,Mali,41.5572,-34.83521,,2020,,,2018-09-29T05:38:30.449Z
331e4a66-fc23-48b7-8cfc-947e9a9500be,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,processing_plant,Sikasso Processing Plant,780 Mining Zone,,Sikasso,Sikasso,,Mali,12.14857,-76.6926,26849,2018,,,2020-06-27T05:38:30.449Z
eb4567ed-14f2-486f-b85b-09623220251c,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,r_and_d_center,Kinshasa R And D Center,233 Processing Road,,Kinshasa,Kinshasa,,Democratic Republic of Congo,18.79081,-55.12161,,2012,,,2021-10-22T05:38:30.449Z
e7d84b65-c753-4095-b9b6-9e296353acea,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,r_and_d_center,Southern Nations R And D Center,786 Industrial Zone,,Southern Nations,Southern Nations,,Ethiopia,29.55478,78.64245,,2019,,,2024-08-13T05:38:30.449Z
34eab87e-5e79-4fd8-9627-d8afbc55ecf4,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,warehouse,Bamako Warehouse,113 Mining Road,,Bamako,Bamako,,Mali,32.55434,-38.82671,,1998,,,2019-12-06T05:38:30.449Z
99c40465-fe0b-42a0-a1d6-56f431aac969,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,office,Kayes Office,800 Processing Way,,Kayes,Kayes,,Mali,-33.14311,73.15841,,1992,,,2020-02-28T05:38:30.449Z
137da3f5-e81f-4b8e-af22-c784596f9c81,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,r_and_d_center,Northern Territory R And D Center,321 Mining Zone,,Northern Territory,Northern Territory,,Australia,-34.03273,26.67363,,2016,,,2023-12-09T05:38:30.449Z
bb832eca-531c-426b-b0d5-3b72107a7004,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,mining_operation,Sikasso Mining Operation,Mine Site Mining Road,,Sikasso,Sikasso,,Mali,26.08596,117.12486,15014,1994,,,2024-12-08T05:38:30.449Z
33107272-ce17-4ef3-a8cc-f3b05e2fe65c,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,mining_operation,Eastern Mining Operation,Mine Site Industrial Road,,Eastern,Eastern,,Ghana,38.53079,-47.20554,12965,2021,,,2017-06-11T05:38:30.449Z
55d1d22c-eb44-4dfc-b2d0-004d30ac0ddf,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,mining_operation,Santiago Mining Operation,Mine Site Processing Road,,Santiago,Santiago,,Chile,18.23084,-89.27587,48816,2019,,,2021-09-14T05:38:30.449Z
bafcd336-3657-44ec-ac8f-f246aea22981,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,headquarters,Diamond Holdings Headquarters,6150 Business Street,,Santiago,Santiago,96541,Chile,-15.95753,19.30903,,1985,+889-772-2614,sales@diamondholdings.com,2022-12-11T05:38:30.408Z
a5008122-9f5c-4bb7-8089-c130de819d01,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,mining_operation,Catamarca Mining Operation,Mine Site Mining Zone,,Catamarca,Catamarca,,Argentina,28.90532,-67.04321,16267,2002,,,2021-04-23T05:38:30.449Z
39c54ef6-ec58-4bb1-bd2b-ba1fe7eb3325,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,processing_plant,Oromia Processing Plant,45 Mining Road,,Oromia,Oromia,,Ethiopia,13.43832,-28.85484,39582,1998,,,2017-09-29T05:38:30.449Z
8ca0d9ef-73a9-4c37-9e6b-8c7ed9cca833,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,processing_plant,Nevada Processing Plant,796 Industrial Zone,,Nevada,Nevada,30279,United States,-31.17266,-29.27972,14565,1991,,,2023-03-25T05:38:30.449Z
76b109c8-c407-401f-8099-65dbbaf5533b,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,processing_plant,Mutoko Processing Plant,465 Processing Road,,Mutoko,Mutoko,,Zimbabwe,13.45704,-49.34109,43265,1997,,,2023-12-13T05:38:30.449Z
6d059f5d-fd73-459f-893a-e68b42d88cfc,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,processing_plant,Santiago Processing Plant,264 Mining Zone,,Santiago,Santiago,,Chile,30.70651,-107.85903,10448,2002,,,2019-04-09T05:38:30.449Z
0583127d-80b6-40cc-bd2d-aaaf916ce1f9,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,office,Bamako Office,525 Mining Zone,,Bamako,Bamako,,Mali,25.56648,-109.54042,,2022,,,2022-08-10T05:38:30.449Z
4ba63704-67bb-48a8-b33f-a0e83501c0cb,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,warehouse,Santiago Warehouse,968 Mining Zone,,Santiago,Santiago,,Chile,-4.21697,80.54053,,2008,,,2016-07-17T05:38:30.449Z
c533ae8c-b9a0-4ca6-a5f9-0a80428dbf8c,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,office,Santiago Office,982 Industrial Way,,Santiago,Santiago,,Chile,46.45637,-57.15781,,2009,,,2023-02-10T05:38:30.449Z
e98b5f28-93fc-44e1-b0d2-8846011cdbff,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,mining_operation,Southern Nations Mining Operation,Mine Site Processing Way,,Southern Nations,Southern Nations,,Ethiopia,-27.26793,90.1055,31360,2018,,,2016-02-18T05:38:30.449Z
565a6336-91c6-4d1e-af9c-f7c30d87fce4,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,office,Santiago Office,756 Mining Road,,Santiago,Santiago,,Chile,41.51805,-69.01536,,1998,,,2023-01-23T05:38:30.449Z
15b9ff4f-8fd5-43b7-8618-737a94499c5e,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,r_and_d_center,Atacama R And D Center,234 Processing Road,,Atacama,Atacama,,Chile,37.24557,72.47002,,2023,,,2024-10-07T05:38:30.449Z
eba1712f-a9dc-4d52-8a56-0f7256df102c,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,r_and_d_center,Santiago R And D Center,244 Mining Zone,,Santiago,Santiago,,Chile,40.36369,-32.95932,,1988,,,2016-04-29T05:38:30.449Z
46c9a784-785f-4c5f-93b9-70dbed697e8e,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,processing_plant,Atacama Processing Plant,835 Industrial Way,,Atacama,Atacama,,Chile,-26.3632,34.35552,9563,2018,,,2021-09-15T05:38:30.449Z
40d48d2a-35e9-4e8d-940f-d44de3492027,0458e690-7a4d-4c4b-a012-50fdc11f13f9,headquarters,Emerald Group Headquarters,8327 Business Drive,Building A,Katanga,Katanga,20545,Democratic Republic of Congo,-16.10082,18.63291,,1995,+860-712-7824,sales@emeraldgroup.com,2024-06-24T05:38:30.409Z
8f0ea713-118f-4a6b-833b-6926c4af3ca3,0458e690-7a4d-4c4b-a012-50fdc11f13f9,r_and_d_center,Nasarawa R And D Center,993 Processing Way,,Nasarawa,Nasarawa,,Nigeria,-25.21157,-1.57857,,1996,,,2022-10-26T05:38:30.449Z
41dd65bb-edad-458b-9773-0d6c5d045ac8,0458e690-7a4d-4c4b-a012-50fdc11f13f9,r_and_d_center,Antofagasta R And D Center,384 Industrial Zone,,Antofagasta,Antofagasta,,Chile,23.05265,128.58328,,1999,,,2017-01-09T05:38:30.449Z
bae29908-27ca-4b3c-99d3-e9ab3a5c04ad,0458e690-7a4d-4c4b-a012-50fdc11f13f9,processing_plant,Kinshasa Processing Plant,765 Processing Zone,,Kinshasa,Kinshasa,,Democratic Republic of Congo,-9.04539,59.61252,14440,1999,,,2019-05-11T05:38:30.449Z
c6a23a71-4047-40e7-9c49-3f06c670bbd3,0458e690-7a4d-4c4b-a012-50fdc11f13f9,mining_operation,Eastern Province Mining Operation,Mine Site Industrial Zone,,Eastern Province,Eastern Province,,Rwanda,-9.23998,-49.68936,34395,2013,,,2019-10-06T05:38:30.449Z
65302933-a54a-4332-b49f-da25ffa7254c,0458e690-7a4d-4c4b-a012-50fdc11f13f9,r_and_d_center,Ashanti R And D Center,615 Industrial Zone,,Ashanti,Ashanti,,Ghana,37.44713,17.88585,,2004,,,2024-04-20T05:38:30.449Z
e037b9b0-92f0-411f-b27e-5b0fc8e276ba,0458e690-7a4d-4c4b-a012-50fdc11f13f9,processing_plant,Western Processing Plant,218 Industrial Way,,Western,Western,,Ghana,-21.70367,-73.80123,20087,1998,,,2020-05-06T05:38:30.449Z
06d6d958-3aa4-49c0-808f-8b1e9467f7c8,0458e690-7a4d-4c4b-a012-50fdc11f13f9,warehouse,Katanga Warehouse,561 Industrial Zone,,Katanga,Katanga,,Democratic Republic of Congo,-29.95491,-39.03315,,1996,,,2017-03-10T05:38:30.449Z
10fdd8db-79f4-4d8b-8ce1-2c323263c5cf,0458e690-7a4d-4c4b-a012-50fdc11f13f9,office,Catamarca Office,275 Mining Road,,Catamarca,Catamarca,,Argentina,14.15088,-77.27653,,2006,,,2016-01-21T05:38:30.449Z
e0f40489-fece-4658-958a-793aded87763,0458e690-7a4d-4c4b-a012-50fdc11f13f9,r_and_d_center,Kinshasa R And D Center,638 Industrial Road,,Kinshasa,Kinshasa,,Democratic Republic of Congo,-19.37163,97.86815,,1995,,,2016-09-21T05:38:30.449Z
4b1b295f-9b66-4052-989f-23487d6d233d,0458e690-7a4d-4c4b-a012-50fdc11f13f9,office,Katanga Office,486 Industrial Zone,,Katanga,Katanga,,Democratic Republic of Congo,16.12472,-57.89988,,2023,,,2024-08-29T05:38:30.449Z
9a8d4c9b-654d-4fc2-a263-a2b0e43f9cca,0458e690-7a4d-4c4b-a012-50fdc11f13f9,office,Addis Ababa Office,256 Mining Zone,,Addis Ababa,Addis Ababa,,Ethiopia,42.6693,-112.85378,,2018,,,2021-07-13T05:38:30.449Z
7ff8f8eb-2243-4126-a24c-0aa5c0937d9c,0458e690-7a4d-4c4b-a012-50fdc11f13f9,warehouse,Kinshasa Warehouse,132 Processing Zone,,Kinshasa,Kinshasa,,Democratic Republic of Congo,-20.96431,-96.08334,,2024,,,2017-10-22T05:38:30.449Z
2fbd3d99-8b70-4d67-9af9-a9eec0d9d456,0458e690-7a4d-4c4b-a012-50fdc11f13f9,warehouse,Katanga Warehouse,246 Industrial Zone,,Katanga,Katanga,,Democratic Republic of Congo,9.72999,-78.34781,,2023,,,2017-05-11T05:38:30.449Z
9a8a5127-71f0-41d3-9441-f5f0d6f5945b,0458e690-7a4d-4c4b-a012-50fdc11f13f9,r_and_d_center,Antofagasta R And D Center,783 Processing Road,,Antofagasta,Antofagasta,,Chile,-2.54741,78.59027,,2009,,,2023-01-11T05:38:30.449Z
8ecf8482-d46b-4dd0-a755-858f7ae8cc83,0458e690-7a4d-4c4b-a012-50fdc11f13f9,warehouse,Atacama Warehouse,290 Processing Zone,,Atacama,Atacama,,Chile,5.52858,-95.77689,,2016,,,2017-02-26T05:38:30.449Z
8b6f64eb-3232-41b0-9022-fbf8e2ee4abd,0458e690-7a4d-4c4b-a012-50fdc11f13f9,mining_operation,Goromonzi Mining Operation,Mine Site Industrial Zone,,Goromonzi,Goromonzi,,Zimbabwe,-34.36759,56.1219,40304,1997,,,2022-07-07T05:38:30.449Z
ec68da76-3231-4f22-8669-513f0590bd9d,0458e690-7a4d-4c4b-a012-50fdc11f13f9,warehouse,California Warehouse,206 Mining Way,,California,California,42951,United States,6.14515,-8.41616,,2024,,,2023-08-12T05:38:30.449Z
4e59e0c3-6e0b-4adf-afcc-a1526fde7ba1,0971e222-5719-489b-af2c-7a9d9a5a1651,headquarters,Diamond Group Headquarters,2622 Business Avenue,Building A,Lagos,Lagos,24224,Nigeria,-19.25748,-24.63953,,2001,+106-561-2051,sales@diamondgroup.com,2024-12-03T05:38:30.409Z
1b6be58f-6d57-4900-a8ee-c49c035ffa38,0971e222-5719-489b-af2c-7a9d9a5a1651,warehouse,Northern Territory Warehouse,320 Processing Road,,Northern Territory,Northern Territory,,Australia,-23.16806,46.47498,,2005,,,2019-02-01T05:38:30.449Z
64accaca-70c8-455b-973e-f113df845d3c,0971e222-5719-489b-af2c-7a9d9a5a1651,warehouse,Plateau Warehouse,932 Mining Way,,Plateau,Plateau,,Nigeria,24.30125,-103.73735,,2008,,,2024-05-31T05:38:30.449Z
276f2e40-151d-4c1a-a193-1c69f545c4a7,0971e222-5719-489b-af2c-7a9d9a5a1651,processing_plant,Nasarawa Processing Plant,469 Industrial Zone,,Nasarawa,Nasarawa,,Nigeria,40.45772,16.99199,19264,2011,,,2017-03-19T05:38:30.449Z
b6d31bf6-0322-4ad7-aec1-07cb3b0dc21a,0971e222-5719-489b-af2c-7a9d9a5a1651,r_and_d_center,Lagos R And D Center,532 Processing Way,,Lagos,Lagos,,Nigeria,6.54782,-103.04432,,2007,,,2024-04-26T05:38:30.449Z
6464ce6c-4d30-4c99-9ab3-2e22ec2ffa77,0971e222-5719-489b-af2c-7a9d9a5a1651,warehouse,Plateau Warehouse,284 Processing Road,,Plateau,Plateau,,Nigeria,36.58501,92.04823,,2008,,,2021-02-17T05:38:30.449Z
62c88c97-916e-4003-a1ec-b5dcf8c37d56,0971e222-5719-489b-af2c-7a9d9a5a1651,mining_operation,Northern Territory Mining Operation,Mine Site Mining Road,,Northern Territory,Northern Territory,,Australia,-9.71805,-35.6137,28011,2014,,,2021-11-01T05:38:30.449Z
afd833e2-47a4-437b-9278-f41bd8d7b625,0971e222-5719-489b-af2c-7a9d9a5a1651,mining_operation,Nasarawa Mining Operation,Mine Site Mining Way,,Nasarawa,Nasarawa,,Nigeria,24.90766,-33.54335,35285,2023,,,2016-11-10T05:38:30.449Z
5cef4b02-41f4-4e51-94b4-7ca8aba44ebf,0971e222-5719-489b-af2c-7a9d9a5a1651,processing_plant,Atacama Processing Plant,64 Processing Zone,,Atacama,Atacama,,Chile,42.34681,-102.45939,16961,2021,,,2016-03-14T05:38:30.449Z
6b5a1410-c6b2-411d-925f-a3183e5eb563,0971e222-5719-489b-af2c-7a9d9a5a1651,warehouse,Atacama Warehouse,457 Processing Road,,Atacama,Atacama,,Chile,27.25048,75.84755,,2017,,,2018-02-25T05:38:30.449Z
70e157b8-9e63-4df6-a617-11158e630f10,0971e222-5719-489b-af2c-7a9d9a5a1651,warehouse,Bikita Warehouse,975 Industrial Road,,Bikita,Bikita,,Zimbabwe,23.55883,50.03075,,2021,,,2021-06-19T05:38:30.449Z
a83cea83-25c8-4c36-a656-b2f4cc1a2b00,0971e222-5719-489b-af2c-7a9d9a5a1651,office,Lagos Office,768 Mining Zone,,Lagos,Lagos,,Nigeria,45.17578,97.29591,,2013,,,2016-01-27T05:38:30.449Z
1abed604-c4bf-4244-b09e-8630673b781d,0971e222-5719-489b-af2c-7a9d9a5a1651,warehouse,Nasarawa Warehouse,449 Mining Zone,,Nasarawa,Nasarawa,,Nigeria,17.59432,-115.38605,,2019,,,2024-10-17T05:38:30.449Z
9bd2812e-8641-49b8-bd54-e1d89e91855b,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,headquarters,Pacific Minerals Headquarters,6612 Central Street,,Quebec,Quebec,61701,Canada,32.4749,-100.42806,,2019,+15-456-9950,sales@pacificminerals.com,2023-04-02T05:38:30.409Z
b72ed09a-bfab-4098-9892-abe3843005d8,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,mining_operation,Manitoba Mining Operation,Mine Site Industrial Zone,,Manitoba,Manitoba,,Canada,42.07073,-7.25402,26836,2022,,,2023-08-10T05:38:30.449Z
d5000044-ae7f-4be5-93a3-b8892c30c8be,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,processing_plant,Eastern Processing Plant,263 Industrial Road,,Eastern,Eastern,,Ghana,-4.72221,67.04908,20215,2022,,,2020-09-06T05:38:30.449Z
95d50d80-98e9-479f-b258-a129639378b4,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,r_and_d_center,Addis Ababa R And D Center,449 Industrial Zone,,Addis Ababa,Addis Ababa,,Ethiopia,-2.72966,42.20765,,2023,,,2022-03-04T05:38:30.449Z
d3bbf19c-3400-469a-afae-c1c80a7fd722,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,processing_plant,Northwest Territories Processing Plant,253 Industrial Road,,Northwest Territories,Northwest Territories,,Canada,26.6494,95.30084,41271,2022,,,2021-10-28T05:38:30.449Z
6c302244-3e05-4671-9ff4-7ec584652af0,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,mining_operation,Manitoba Mining Operation,Mine Site Industrial Way,,Manitoba,Manitoba,,Canada,-33.61756,-4.2588,31146,2020,,,2021-02-23T05:38:30.449Z
dd596a25-bb23-4f8f-906e-5d3c2fd087da,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,r_and_d_center,Eastern R And D Center,633 Processing Road,,Eastern,Eastern,,Ghana,-2.41671,-49.05049,,2023,,,2016-08-18T05:38:30.449Z
3dad8300-2738-40bc-9ee6-ea1b675093d7,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,office,Lagos Office,338 Industrial Road,,Lagos,Lagos,,Nigeria,39.95263,46.80476,,2020,,,2016-07-26T05:38:30.449Z
79e97978-832a-4061-b7cc-fc01ce205cd0,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,r_and_d_center,Northwest Territories R And D Center,759 Industrial Road,,Northwest Territories,Northwest Territories,,Canada,9.51337,43.86849,,2024,,,2016-11-25T05:38:30.449Z
7e3849cf-9ce9-462c-8bba-db72f0578059,5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,office,Kayes Office,818 Mining Road,,Kayes,Kayes,,Mali,-22.60774,17.40191,,2023,,,2019-01-20T05:38:30.449Z
82d83787-e451-497d-a7c6-0585a1ac2553,4022a232-e169-44e0-8c38-ebc6e00bb23e,headquarters,Continental Corporation Headquarters,7940 Central Drive,Suite 100,Gauteng,Gauteng,22029,South Africa,38.94304,117.45781,,2007,+601-546-3331,sales@continentalcorporation.com,2021-05-22T05:38:30.409Z
24adbea8-ff25-458e-acc5-455d4e6570bc,4022a232-e169-44e0-8c38-ebc6e00bb23e,mining_operation,Gauteng Mining Operation,Mine Site Mining Zone,,Gauteng,Gauteng,,South Africa,6.4549,-116.13894,19665,2011,,,2024-11-24T05:38:30.449Z
fd1fe83e-4f7e-4126-aa85-8789f6ca6e85,4022a232-e169-44e0-8c38-ebc6e00bb23e,warehouse,Bikita Warehouse,772 Processing Road,,Bikita,Bikita,,Zimbabwe,27.15463,-48.1528,,2014,,,2024-04-18T05:38:30.449Z
c84e8c9f-ce76-46b4-a200-6a42f9fad817,4022a232-e169-44e0-8c38-ebc6e00bb23e,office,Sikasso Office,734 Processing Road,,Sikasso,Sikasso,,Mali,-22.94771,105.5642,,2023,,,2020-08-24T05:38:30.449Z
