id,supplier_id,name,description,category,grade,purity_percentage,li2co3_content,lioh_content,li2o_content,particle_size_um,bulk_density,moisture_content,unit,min_order_quantity,lead_time_days,available_quantity,certifications,esg_compliant,conflict_free,specifications,pricing,status,created_at,updated_at
7bf22868-73ce-4352-a492-5ab88d2593d7,3969643f-066c-4899-9665-45657442ebf6,Technical Grade Recycled Lithium 98.2%,High-quality technical grade recycled lithium for industrial applications. Reliable quality for manufacturing.,Recycled Lithium,Technical Grade,98.24,,,,,1.35 g/cm³,0.06,MT,180,84,9176,"[""ISO 9001:2015"",""ISO 14001:2015"",""IATF 16949:2016"",""REACH""]",true,true,"{""Na"":""≤0.0008%"",""Mg"":""≤0.0005%"",""Ca"":""≤0.0013%"",""Fe"":""≤0.0005%""}","{""base_price"":8012,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-12-06T05:38:30.414Z,2025-12-05T05:38:30.414Z
08514234-4a45-495d-bae2-984b976490e8,3969643f-066c-4899-9665-45657442ebf6,Battery Grade Lithium Spodumene,High-quality battery grade lithium spodumene for EV battery applications. Meets strict automotive specifications.,Lithium Spodumene,Battery Grade,,,,6.08,D50: 16μm,0.91 g/cm³,0.05,MT,31,50,6770,"[""ISO 14001:2015"",""REACH"",""RoHS""]",true,true,"{""Na"":""≤0.0002%"",""Mg"":""≤0.0001%"",""Ca"":""≤0.0002%"",""Fe"":""≤0.0003%""}","{""base_price"":953,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-01-07T05:38:30.414Z,2025-12-21T05:38:30.414Z
20bcc7ec-aa1a-4613-a3e8-6ea549709de7,3926362c-b964-4f16-bb68-8c63ae3ee25f,Industrial Grade Other 98.4%,High-quality industrial grade other for industrial applications. Reliable quality for manufacturing.,Other,Industrial Grade,98.38,,,,,1.04 g/cm³,0.13,MT,266,76,5004,"[""IATF 16949:2016"",""REACH"",""ISO 9001:2015"",""RoHS""]",true,true,"{""Na"":""≤0.0007%"",""Mg"":""≤0.0002%"",""Ca"":""≤0.0011%"",""Fe"":""≤0.0004%""}","{""base_price"":5638,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2024-10-03T05:38:30.414Z,2025-12-22T05:38:30.414Z
79e62f77-ba26-4f70-96f5-f25311900445,3926362c-b964-4f16-bb68-8c63ae3ee25f,Battery Grade Lithium Hydroxide 99.80%,High-quality battery grade lithium hydroxide for EV battery applications. Meets strict automotive specifications.,Lithium Hydroxide,Battery Grade,99.8,,56.55,,D50: 60μm,0.92 g/cm³,0.14,MT,35,90,9623,"[""ISO 9001:2015"",""ISO 14001:2015"",""IATF 16949:2016"",""RoHS""]",true,true,"{""Na"":""≤0.0003%"",""Mg"":""≤0.0004%"",""Ca"":""≤0.0007%"",""Fe"":""≤0.0003%""}","{""base_price"":15278,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2024-06-20T05:38:30.414Z,2026-01-01T05:38:30.414Z
d5a7dc52-176c-492b-a2a8-b41339591972,3926362c-b964-4f16-bb68-8c63ae3ee25f,Industrial Grade Other 98.4%,High-quality industrial grade other for industrial applications. Reliable quality for manufacturing.,Other,Industrial Grade,98.41,,,,,1.16 g/cm³,0.13,MT,180,55,6350,"[""ISO 9001:2015"",""ISO 14001:2015"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0002%"",""Mg"":""≤0.0005%"",""Ca"":""≤0.001%"",""Fe"":""≤0.0005%""}","{""base_price"":9728,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2024-06-03T05:38:30.414Z,2025-12-23T05:38:30.414Z
e4f1311c-94a4-4721-af51-8dc640502739,3926362c-b964-4f16-bb68-8c63ae3ee25f,Pharmaceutical Grade Lithium Carbonate 99.3%,High-quality pharmaceutical grade lithium carbonate for industrial applications. Reliable quality for manufacturing.,Lithium Carbonate,Pharmaceutical Grade,99.34,99.34,,,,0.8 g/cm³,0.01,MT,285,58,3898,"[""IATF 16949:2016"",""ISO 14001:2015"",""RoHS"",""ISO 9001:2015""]",true,true,"{""Na"":""≤0.0005%"",""Mg"":""≤0.0003%"",""Ca"":""≤0.0006%"",""Fe"":""≤0.0003%""}","{""base_price"":7192,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2024-06-04T05:38:30.414Z,2025-12-17T05:38:30.414Z
a15c6337-ca79-44a2-9d5e-380ed9310fc2,3926362c-b964-4f16-bb68-8c63ae3ee25f,Pharmaceutical Grade Other 99.2%,High-quality pharmaceutical grade other for industrial applications. Reliable quality for manufacturing.,Other,Pharmaceutical Grade,99.15,,,,,1.24 g/cm³,0.1,MT,229,61,353,"[""REACH"",""ISO 14001:2015"",""RoHS"",""ISO 9001:2015""]",true,true,"{""Na"":""≤0.0005%"",""Mg"":""≤0.0009%"",""Ca"":""≤0.0002%"",""Fe"":""≤0.0004%""}","{""base_price"":8860,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2024-11-26T05:38:30.414Z,2025-12-29T05:38:30.414Z
4c0aaebd-3c3f-4a9f-8d3e-17de13820b23,3926362c-b964-4f16-bb68-8c63ae3ee25f,Technical Grade Lithium Spodumene,High-quality technical grade lithium spodumene for industrial applications. Reliable quality for manufacturing.,Lithium Spodumene,Technical Grade,,,,6.05,,1.16 g/cm³,0.11,MT,87,49,5377,"[""IATF 16949:2016"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.0003%"",""Mg"":""≤0.0008%"",""Ca"":""≤0.0013%"",""Fe"":""≤0.0003%""}","{""base_price"":8686,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2025-02-11T05:38:30.414Z,2025-12-20T05:38:30.414Z
93033c7a-e819-4529-9439-79b794c79454,3926362c-b964-4f16-bb68-8c63ae3ee25f,Battery Grade Lithium Chloride 99.3%,High-quality battery grade lithium chloride for EV battery applications. Meets strict automotive specifications.,Lithium Chloride,Battery Grade,99.31,,,,D50: 17μm,1.15 g/cm³,0.07,MT,18,46,6770,"[""ISO 9001:2015"",""ISO 14001:2015"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0005%"",""Mg"":""≤0.0002%"",""Ca"":""≤0.0017%"",""Fe"":""≤0.0002%""}","{""base_price"":1173,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-02-02T05:38:30.414Z,2025-12-26T05:38:30.414Z
e2abcec5-6b89-4e3b-82ed-dcdfa6240706,3926362c-b964-4f16-bb68-8c63ae3ee25f,Battery Grade Other 98.9%,High-quality battery grade other for EV battery applications. Meets strict automotive specifications.,Other,Battery Grade,98.87,,,,D50: 11μm,0.86 g/cm³,0.1,MT,21,49,9411,"[""ISO 9001:2015"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.0007%"",""Mg"":""≤0.0008%"",""Ca"":""≤0.0007%"",""Fe"":""≤0.0003%""}","{""base_price"":1164,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2025-05-27T05:38:30.414Z,2025-12-28T05:38:30.414Z
7938310e-b3fc-4738-a54a-17acccbd4ead,3926362c-b964-4f16-bb68-8c63ae3ee25f,Battery Grade Lithium Spodumene,High-quality battery grade lithium spodumene for EV battery applications. Meets strict automotive specifications.,Lithium Spodumene,Battery Grade,,,,5.51,D50: 31μm,0.94 g/cm³,0.1,MT,27,89,5783,"[""REACH"",""IATF 16949:2016"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.0004%"",""Mg"":""≤0.0003%"",""Ca"":""≤0.0015%"",""Fe"":""≤0.0002%""}","{""base_price"":1155,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2025-04-21T05:38:30.414Z,2025-12-14T05:38:30.414Z
7d7bc798-f26a-4e67-9d4a-517596ff461c,3926362c-b964-4f16-bb68-8c63ae3ee25f,Pharmaceutical Grade Lithium Hydroxide 99.53%,High-quality pharmaceutical grade lithium hydroxide for industrial applications. Reliable quality for manufacturing.,Lithium Hydroxide,Pharmaceutical Grade,99.53,,56.19,,,0.9 g/cm³,0.08,MT,70,85,5561,"[""REACH"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0009%"",""Mg"":""≤0.0002%"",""Ca"":""≤0.0014%"",""Fe"":""≤0.0002%""}","{""base_price"":6336,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-06-04T05:38:30.414Z,2025-12-22T05:38:30.414Z
0d54bb61-36b3-46e7-a258-a4a45c60fbbe,3926362c-b964-4f16-bb68-8c63ae3ee25f,Pharmaceutical Grade Lithium Carbonate 99.72%,High-quality pharmaceutical grade lithium carbonate for industrial applications. Reliable quality for manufacturing.,Lithium Carbonate,Pharmaceutical Grade,99.72,99.72,,,,1.2 g/cm³,0.13,MT,360,83,8609,"[""ISO 9001:2015"",""ISO 14001:2015"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0009%"",""Mg"":""≤0.0005%"",""Ca"":""≤0.0008%"",""Fe"":""≤0.0001%""}","{""base_price"":7699,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-09-20T05:38:30.414Z,2025-12-03T05:38:30.414Z
85279518-b605-4855-a5f1-8c391bf3ed0c,3926362c-b964-4f16-bb68-8c63ae3ee25f,Industrial Grade Lithium Chloride 98.9%,High-quality industrial grade lithium chloride for industrial applications. Reliable quality for manufacturing.,Lithium Chloride,Industrial Grade,98.87,,,,,1.34 g/cm³,0.14,MT,90,82,3027,"[""REACH"",""IATF 16949:2016"",""ISO 9001:2015"",""RoHS""]",true,true,"{""Na"":""≤0.0003%"",""Mg"":""≤0.0009%"",""Ca"":""≤0.0006%"",""Fe"":""≤0.0003%""}","{""base_price"":7283,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2025-09-25T05:38:30.414Z,2025-12-16T05:38:30.414Z
bc65939b-8f2c-4c4c-909f-3950c0dd09df,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Industrial Grade Other 98.7%,High-quality industrial grade other for industrial applications. Reliable quality for manufacturing.,Other,Industrial Grade,98.66,,,,,1.22 g/cm³,0.02,MT,275,76,8852,"[""IATF 16949:2016"",""ISO 14001:2015"",""RoHS"",""REACH""]",true,true,"{""Na"":""≤0.0003%"",""Mg"":""≤0.001%"",""Ca"":""≤0.0015%"",""Fe"":""≤0.0001%""}","{""base_price"":6331,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-10-21T05:38:30.414Z,2025-12-12T05:38:30.414Z
ce501640-d165-4efb-81ce-a723d1fc4ed7,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Battery Grade Lithium Carbonate 99.4%,High-quality battery grade lithium carbonate for EV battery applications. Meets strict automotive specifications.,Lithium Carbonate,Battery Grade,99.4,99.4,,,D50: 51μm,1.36 g/cm³,0.03,MT,26,54,5560,"[""REACH"",""RoHS"",""IATF 16949:2016"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.001%"",""Mg"":""≤0.0007%"",""Ca"":""≤0.0011%"",""Fe"":""≤0.0005%""}","{""base_price"":14238,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2025-09-09T05:38:30.414Z,2025-12-28T05:38:30.414Z
fda35e35-aa42-4289-a5db-35ef1f02e9ca,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Technical Grade Lithium Chloride 98.3%,High-quality technical grade lithium chloride for industrial applications. Reliable quality for manufacturing.,Lithium Chloride,Technical Grade,98.3,,,,,1 g/cm³,0.13,MT,279,83,2218,"[""ISO 9001:2015"",""RoHS"",""REACH""]",true,true,"{""Na"":""≤0.0006%"",""Mg"":""≤0.0005%"",""Ca"":""≤0.0012%"",""Fe"":""≤0.0004%""}","{""base_price"":8837,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-03-10T05:38:30.414Z,2025-12-15T05:38:30.414Z
d7571f20-10d9-437a-b52b-c837f88b231d,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Pharmaceutical Grade Lithium Hydroxide 99.86%,High-quality pharmaceutical grade lithium hydroxide for industrial applications. Reliable quality for manufacturing.,Lithium Hydroxide,Pharmaceutical Grade,99.86,,56.68,,,1.21 g/cm³,0.13,MT,256,74,579,"[""ISO 14001:2015"",""ISO 9001:2015"",""RoHS""]",true,true,"{""Na"":""≤0.0005%"",""Mg"":""≤0.0004%"",""Ca"":""≤0.001%"",""Fe"":""≤0.0004%""}","{""base_price"":8064,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-04-11T05:38:30.414Z,2025-12-03T05:38:30.414Z
8788b174-62fa-42fe-b367-ff56a3abf2c5,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Pharmaceutical Grade Other 99.1%,High-quality pharmaceutical grade other for industrial applications. Reliable quality for manufacturing.,Other,Pharmaceutical Grade,99.06,,,,,1.04 g/cm³,0.04,MT,478,49,5274,"[""IATF 16949:2016"",""RoHS""]",true,true,"{""Na"":""≤0.0003%"",""Mg"":""≤0.0004%"",""Ca"":""≤0.0001%"",""Fe"":""≤0.0002%""}","{""base_price"":5584,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-06-02T05:38:30.414Z,2025-12-12T05:38:30.414Z
bf3635ab-cdf5-4be2-b088-556c711f0028,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Battery Grade Recycled Lithium 98.8%,High-quality battery grade recycled lithium for EV battery applications. Meets strict automotive specifications.,Recycled Lithium,Battery Grade,98.77,,,,D50: 38μm,1.32 g/cm³,0.13,MT,28,35,2897,"[""ISO 9001:2015"",""RoHS"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.0002%"",""Mg"":""≤0.0005%"",""Ca"":""≤0.0012%"",""Fe"":""≤0.0003%""}","{""base_price"":1121,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2024-04-06T05:38:30.414Z,2025-12-30T05:38:30.414Z
10b0260d-eb6c-486a-a130-8dda008aa4a5,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Technical Grade Lithium Carbonate 99.70%,High-quality technical grade lithium carbonate for industrial applications. Reliable quality for manufacturing.,Lithium Carbonate,Technical Grade,99.7,99.7,,,,1.19 g/cm³,0.07,MT,490,77,6776,"[""ISO 9001:2015"",""ISO 14001:2015"",""RoHS""]",true,true,"{""Na"":""≤0.0004%"",""Mg"":""≤0.0008%"",""Ca"":""≤0.0017%"",""Fe"":""≤0.0004%""}","{""base_price"":9938,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-04-01T05:38:30.414Z,2025-12-22T05:38:30.414Z
289bfa28-eb15-4f2f-9d13-d856b97775d7,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Battery Grade Lithium Chloride 98.8%,High-quality battery grade lithium chloride for EV battery applications. Meets strict automotive specifications.,Lithium Chloride,Battery Grade,98.83,,,,D50: 37μm,1.32 g/cm³,0.09,MT,49,90,5035,"[""REACH"",""IATF 16949:2016"",""ISO 14001:2015"",""ISO 9001:2015""]",true,true,"{""Na"":""≤0.0006%"",""Mg"":""≤0.0001%"",""Ca"":""≤0.0012%"",""Fe"":""≤0.0004%""}","{""base_price"":854,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2024-09-07T05:38:30.414Z,2025-12-13T05:38:30.414Z
9135cfc6-ea63-4c0a-870f-49abaaed2d72,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Industrial Grade Lithium Spodumene,High-quality industrial grade lithium spodumene for industrial applications. Reliable quality for manufacturing.,Lithium Spodumene,Industrial Grade,,,,5.5,,1.15 g/cm³,0.13,MT,291,76,4405,"[""IATF 16949:2016"",""ISO 9001:2015""]",true,true,"{""Na"":""≤0.0004%"",""Mg"":""≤0.001%"",""Ca"":""≤0.0016%"",""Fe"":""≤0.0004%""}","{""base_price"":6689,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",out_of_stock,2024-11-27T05:38:30.414Z,2025-12-09T05:38:30.414Z
72ef436c-0c2c-4c0d-99bc-1c47e32f8215,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Industrial Grade Recycled Lithium 98.6%,High-quality industrial grade recycled lithium for industrial applications. Reliable quality for manufacturing.,Recycled Lithium,Industrial Grade,98.61,,,,,1.08 g/cm³,0.03,MT,372,55,9981,"[""REACH"",""IATF 16949:2016"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.0007%"",""Mg"":""≤0.0004%"",""Ca"":""≤0.0011%"",""Fe"":""≤0.0005%""}","{""base_price"":7933,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2024-08-20T05:38:30.414Z,2025-12-07T05:38:30.414Z
3a58b029-9147-4532-9381-17b3523c883d,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,Technical Grade Lithium Hydroxide 99.63%,High-quality technical grade lithium hydroxide for industrial applications. Reliable quality for manufacturing.,Lithium Hydroxide,Technical Grade,99.63,,56.51,,,0.98 g/cm³,0.02,MT,238,88,4696,"[""ISO 14001:2015"",""ISO 9001:2015"",""REACH""]",true,true,"{""Na"":""≤0.0008%"",""Mg"":""≤0.0009%"",""Ca"":""≤0.0013%"",""Fe"":""≤0.0003%""}","{""base_price"":6716,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-07-23T05:38:30.414Z,2026-01-02T05:38:30.414Z
a4045a71-a91c-4c35-a0a8-a38e9fbd96c6,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,Battery Grade Lithium Chloride 98.8%,High-quality battery grade lithium chloride for EV battery applications. Meets strict automotive specifications.,Lithium Chloride,Battery Grade,98.79,,,,D50: 46μm,1.23 g/cm³,0.07,MT,40,38,1391,"[""ISO 9001:2015"",""RoHS""]",true,true,"{""Na"":""≤0.0005%"",""Mg"":""≤0.0003%"",""Ca"":""≤0.0018%"",""Fe"":""≤0.0003%""}","{""base_price"":922,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2024-01-22T05:38:30.414Z,2025-12-14T05:38:30.414Z
ec29657f-2a6e-4019-a514-e5cfa2235d80,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,Pharmaceutical Grade Lithium Spodumene,High-quality pharmaceutical grade lithium spodumene for industrial applications. Reliable quality for manufacturing.,Lithium Spodumene,Pharmaceutical Grade,,,,5.66,,1.28 g/cm³,0.07,MT,459,87,3147,"[""ISO 9001:2015"",""ISO 14001:2015"",""IATF 16949:2016"",""REACH""]",true,true,"{""Na"":""≤0.0006%"",""Mg"":""≤0.0009%"",""Ca"":""≤0.001%"",""Fe"":""≤0.0005%""}","{""base_price"":8476,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2024-08-11T05:38:30.414Z,2025-12-31T05:38:30.414Z
21d61146-7d3b-47ab-b4cb-fda0cde90871,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,Pharmaceutical Grade Recycled Lithium 99.1%,High-quality pharmaceutical grade recycled lithium for industrial applications. Reliable quality for manufacturing.,Recycled Lithium,Pharmaceutical Grade,99.12,,,,,1.01 g/cm³,0.11,MT,293,56,4330,"[""REACH"",""IATF 16949:2016"",""RoHS"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.0005%"",""Mg"":""≤0.0003%"",""Ca"":""≤0.0008%"",""Fe"":""≤0.0004%""}","{""base_price"":8117,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-05-16T05:38:30.414Z,2025-12-10T05:38:30.414Z
8a690c43-12d4-4519-8321-f2c2c9421a6d,15a2f15e-2b3b-4d6c-95c0-45c55b4da187,Pharmaceutical Grade Lithium Spodumene,High-quality pharmaceutical grade lithium spodumene for industrial applications. Reliable quality for manufacturing.,Lithium Spodumene,Pharmaceutical Grade,,,,5.53,,1.25 g/cm³,0.12,MT,62,67,6572,"[""REACH"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0009%"",""Mg"":""≤0.0006%"",""Ca"":""≤0.0007%"",""Fe"":""≤0.0002%""}","{""base_price"":7103,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",out_of_stock,2024-07-25T05:38:30.414Z,2025-12-30T05:38:30.414Z
